acount_name,user_name,posts,followers,following,taux_engagement,Topic,profile_desc,image
@marcelotwelve,marcelo vieira,2833,64096242.0,2073,1.00%,Health Style Fashion Music Travel Art Photography Creativity,Moleque de Xerém @fluminensefc WE ARE @groupdoze @adidas | Athlete @academy12 | Founder,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzuRRjqd3Tw4=.jpeg
@maluma,maluma,86,63127589.0,267,1.13%,Photography Celebrations  Sports Music Fashion Beauty Entertainment SocialMedia Travel Nature,COCO LOCO 🥥😜 OUT NOW,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQzeJTh6NxRg==.jpeg
@willsmith,will smith,1491,62735145.0,212,0.61%,Health Style Fashion Music Travel Art Photography Creativity,Same kid from West Philly.,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXyOFUh6d4TgVI.jpeg
@beingsalmankhan,salman khan,1330,62365110.0,37,1.95%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Artist | Humanitarian,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOZRiKd2Rw1J.jpeg
@theweeknd,abel tesfaye,844,60121159.0,0,1.07%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,@theidol EVERY SUNDAY on @hbo @streamonmax,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWz+RVj6xzQw8=.jpeg
@bellahadid,bella 🦋,3225,59052757.0,855,1.58%,Art Food LifeStyle Religion Entertainment ,Isabella Khair Hadid 11👁️🪷👁️11 Palestinian & Dutch @kineuphorics @chromeheartsxbella,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVz+dXiKV2QA==.jpeg
@sergioramos,sergio ramos,2414,59008923.0,1617,1.73%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,🦁 YOU HAVE THE POWER TO MAKE BEAUTIFUL THINGS,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOBXhq10QAhK.jpeg
@leonardodicaprio,leonardo dicaprio,1821,58805197.0,189,0.34%,Art Food LifeStyle Religion Entertainment ,Actor and Environmentalist,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOJQiKV2QAhJ.jpeg
@paulpogba,paul labile pogba,1383,58735165.0,181,1.71%,Fashion Beauty Health Sports Music Dance Fitness Art LifeStyle ,Born Ready 👊🏾,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWzepUjqN3TwxL.jpeg
@michelleobama,michelle obama,792,54531564.0,13,0.30%,Art Food LifeStyle Religion Entertainment ,"Girl from the South Side and former First Lady. Wife, mother, dog lover. Always hugger-in-chief. #TheLightWeCarry",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQyuJUjqRyRwlE.jpeg
@kritisanon,kriti,2922,53852485.0,361,1.11%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,Uncomplicate 🦋🦋 YouTube Channel 👇,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQzepej6V3RAw=.jpeg
@louisvuitton,louis vuitton,7076,53333769.0,8,0.11%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,The official Instagram account of Louis Vuitton.,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVweVQj6xwRQ0=.jpeg
@lelepons,lele pons,2576,53191468.0,3976,1.39%,Health Style Fashion Music Travel Art Photography Creativity,Born in 🇻🇪🇻🇪🇻🇪,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzuVSjqdzQQ8=.jpeg
@hudabeauty,huda beauty,2475,53059195.0,1144,0.08%,Fashion Beauty Photography Travel Lifestyle Art Culture Events Influencers SocialMedia Education Food Entrepreneurship Family,"Makeup Artist & Blogger @huda Founder of @wishfulskin Products tested on huda, NOT animals",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQzeBUjKJ4RQ==.jpeg
@stephencurry30,wardell curry,1136,52492851.0,1062,1.34%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,"Believer. Husband to @ayeshacurry, father to Riley, Ryan and Canon. Warriors guard. Davidson Wildcat. Philippians 4:13 #ChangeTheGameForGood",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXy+ZTh6x4TwU=.jpeg
@nusr_et,nusr_et#saltbae,2482,52247338.0,339,0.27%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,For business opportunities: nusret.gokce@outlook.com / Nothing is impossible🔪,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXzOJRjq1wRw8=.jpeg
@krisjenner,kris jenner,6593,52228615.0,545,0.30%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,@kyliecosmetics @kylieskin @kyliebaby @skkn @skims @drink818 @poosh @arthurgeorge87 @goodamerican @getsafely @kardashianshulu @skkypartners,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzeZQiqN2Tw4=.jpeg
@vanessahudgens,🔮vanessa hudgens🔮,4388,50131916.0,1803,0.38%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,✨look for the magic all around you✨ co-founder of @caliwater @knowbeauty @thomasashbourne,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWzuJWh6x5QA4=.jpeg
@georginagio,georgina rodríguez,829,49766188.0,948,4.76%,Lifestyle Art Photography Travel Entertainment Music Dance Sports Fitness,Mamá de 6 bendiciones ❤️ VividoraDeLaVidaSoñadoraDelosSueños,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWyeJShq1zQgVK.jpeg
@georginagio,georgina rodríguez,828,49699144.0,946,4.57%,Lifestyle Art Photography Travel Entertainment Music Dance Sports Fitness,Mamá de 6 bendiciones ❤️ VividoraDeLaVidaSoñadoraDelosSueños,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWyeJShq1zQgVK.jpeg
@haileybieber,hailey rhode baldwin bieber,2064,49677663.0,912,2.00%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,founder + creative director @rhode 🤍,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUTyOZXjKxw.jpeg
@haileybieber,hailey rhode baldwin bieber,2063,49658879.0,912,2.07%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,founder + creative director @rhode 🤍,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUTyOZXjKxw.jpeg
@travisscott,flame,3166,49585224.0,77,4.90%,Lifestyle Art Photography Travel Entertainment Music Dance Sports Fitness,UTOPIA,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVwetWjqZyQA==.jpeg
@vancityreynolds,ryan reynolds,765,49199945.0,824,1.10%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Owner @aviationgin & @mintmobile @maximumeffort & @wrexham_afc 🇨🇦,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVwOZUiqNyQgVN.jpeg
@cznburak,burak özdemir,1950,48790788.0,219,0.85%,Health Style Fashion Music Travel Art Photography Creativity,En Güzel Bağ Sevgidir🤗❤️ -Love is the greatest bond❤️🤗 ✉️Business : CznBurak@muse.istanbul Czn Burak İle İlgili Her Şey Yeni Video Link👇,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXyeFfiqJ1Tgo=.jpeg
@charlidamelio,charli,276,47358622.0,333,1.31%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,all smiles here @socialtourist ☻ @borndreamerbycd ★ @dameliofootwear @dancingwiththestars,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVweFUi6V2RQs=.jpeg
@luissuarez9,luis suárez,1063,47353446.0,297,1.52%,Food Comedy Sports Family Music Art  Events Health Family Education,Selección Uruguaya (@aufoficial) y Gremio (@gremio) 🇺🇾,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzeVWiqR1RQhF.jpeg
@thenotoriousmma,conor mcgregor official,3603,46496473.0,1748,1.01%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,"The face of the fight game, Mr. Whiskey 🥃",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQy+NSiK1xRQw=.jpeg
@varundvn,varundhawan,1974,46072789.0,579,1.12%,Sports Music Entertainment Fashion Style Business Travel Culture Food Pets Tourism,See the world through my eyes,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWz+RfjK13RQ4=.jpeg
@hrithikroshan,hrithik roshan,664,45333030.0,277,1.68%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Man on mission - to live the best life possible come what may.,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQyOZXj6ZwRAg=.jpeg
@norafatehi,nora fatehi,1906,45144942.0,452,0.99%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,Actress|Performer|Singer|Self taught dancer|Producer| mv director❤️🇨🇦🇲🇦🇮🇳,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMURy+pfiaJ4QAU=.jpeg
@kapilsharma,kapil sharma,1161,44714738.0,1039,2.28%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,Actor who loves to make people laugh 🤪,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzeZfh6dwTgpE.jpeg
@prattprattpratt,chris pratt,817,44165094.0,841,1.57%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,Professional Actor. Professional golfer.,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWzeJQi6J4Qg==.jpeg
@nickyjam,nicky jam,11356,44124923.0,1510,0.81%,Food Comedy Sports Family Music Art  Events Health Family Education,#69 junto a @feid,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMURzOVfi6B5Tw==.jpeg
@ranveersingh,ranveer singh,1701,43551726.0,1268,1.32%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,Living the dream.......,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOJQhqx3Qg9O.jpeg
@houseofhighlights,house of highlights,28729,43507477.0,1937,0.35%,Fashion Beauty Health Sports Music Dance Fitness Art LifeStyle ,➡️ @ttwpodcast,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVy+dSh6x2RwhE.jpeg
@caradelevingne,cara delevingne,2822,42917285.0,2201,1.02%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,They tell me I got thick knuckles and a juicy spine… how bout them apples 🦄 Embrace your weirdness ✨,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXy+dThqV2.jpeg
@britneyspears,river red,3255,42116619.0,48,0.27%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,Artist 🎶💃🏼 Mamma 👩‍👦‍👦 Pray Every Day 🙏🏼✝️ Chef in the works💋👩🏼‍🍳,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVy+BSiKJ2Qg==.jpeg
@chrissyteigen,chrissy teigen,5344,42090276.0,1055,0.36%,Health Style Fashion Music Travel Art Photography Creativity,head of delicious things @cravingsbychrissyteigen,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWz+BTjKF1Qw==.jpeg
@parineetichopra,,1363,41168313.0,290,2.28%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 𝚆𝚊𝚗𝚍𝚎𝚛𝚒𝚗𝚐 𝚑𝚎𝚍𝚘𝚗𝚒𝚜𝚝 🫧,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOBSh6V2Rg5J.jpeg
@shahidkapoor,shahid kapoor,1266,40965873.0,251,2.04%,Fashion Beauty Photography Travel Lifestyle Art Culture Events Influencers SocialMedia Education Food Entrepreneurship Family,Bloddy Daddy Streaming Now⬇️,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMURzOJXi6VzTg4=.jpeg
@sachintendulkar,sachin tendulkar,1144,40844722.0,32,1.55%,Art Food LifeStyle Religion Entertainment ,Founder @sachintendulkarfoundation,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVwORUjqdyQwxF.jpeg
@wizkhalifa,wiz khalifa,96,40554230.0,1673,0.68%,Photography Celebrations  Sports Music Fashion Beauty Entertainment SocialMedia Travel Nature,Taylor Gang,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMURzepQh6V4.jpeg
